FILE_VERSION	2.0.0
NO_OF_FRAMES	3302
NO_OF_CAMERAS	0
NO_OF_MARKERS	4
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2026-03-25, 10:44:47.398	1774431887.39863491
DATA_INCLUDED	3D_ACCELERATION
MARKER_NAMES	RWristIn	LWristIn	RAnkleOut	LAnkleOut
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured
Frame	Time	RWristIn X	RWristIn Y	RWristIn Z	LWristIn X	LWristIn Y	LWristIn Z	RAnkleOut X	RAnkleOut Y	RAnkleOut Z	LAnkleOut X	LAnkleOut Y	LAnkleOut Z
120	0.18071	0.0019	-0.0053	0.0027	-0.0039	0.0002	-0.0035	0.0024	0.0067	-0.0011	-0.0004	-0.0058	-0.0026
121	0.19035	0.0026	-0.0097	0.0004	-0.0082	0.0010	-0.0037	-0.0035	0.0047	-0.0011	-0.0018	-0.0131	-0.0069
122	0.20058	-0.0031	-0.0089	0.0001	-0.0040	0.0026	-0.0008	-0.0021	0.0039	0.0011	-0.0011	-0.0065	-0.0033
123	0.21029	-0.0037	-0.0060	-0.0044	-0.0112	-0.0016	-0.0026	0.0016	0.0031	-0.0047	0.0004	-0.0036	-0.0011
124	0.22044	-0.0016	-0.0111	-0.0037	-0.0098	-0.0022	-0.0012	0.0016	0.0038	-0.0018	-0.0011	-0.0087	-0.0012
125	0.23107	0.0001	-0.0024	-0.0053	-0.0119	-0.0057	-0.0064	0.0009	0.0038	-0.0047	-0.0048	-0.0123	-0.0012
126	0.24106	0.0008	-0.0031	-0.0039	-0.0083	-0.0048	-0.0049	-0.0005	0.0054	-0.0048	0.0039	-0.0117	-0.0011
127	0.25129	0.0045	-0.0032	-0.0010	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0091	-0.0131	-0.0063
128	0.26106	-0.0021	-0.0023	-0.0004	-0.0056	0.0012	-0.0006	-0.0020	0.0055	0.0032	0.0011	-0.0038	-0.0062
129	0.27055	0.0037	-0.0074	-0.0003	-0.0070	-0.0016	-0.0058	-0.0020	0.0070	0.0024	0.0046	-0.0046	0.0018
130	0.28069	-0.0057	-0.0029	-0.0006	-0.0020	-0.0022	-0.0020	0.0017	0.0069	-0.0013	0.0003	-0.0055	-0.0055
131	0.29123	-0.0034	-0.0051	-0.0042	-0.0042	0.0009	-0.0036	0.0009	0.0041	0.0016	0.0003	-0.0063	-0.0069
132	0.30112	-0.0041	-0.0014	-0.0036	-0.0049	-0.0056	-0.0058	0.0001	0.0005	-0.0020	0.0010	-0.0033	-0.0011
133	0.31029	-0.0032	0.0029	-0.0080	-0.0006	-0.0018	-0.0050	-0.0028	0.0058	0.0000	-0.0062	-0.0077	-0.0069
134	0.32018	-0.0011	0.0014	-0.0037	-0.0051	-0.0023	-0.0030	-0.0006	0.0058	-0.0022	-0.0027	-0.0070	-0.0017
135	0.33126	-0.0033	-0.0029	-0.0051	-0.0045	-0.0037	0.0007	0.0000	0.0000	0.0000	-0.0005	-0.0027	0.0020
136	0.34026	0.0033	0.0021	-0.0029	0.0000	0.0000	0.0000	-0.0020	0.0080	-0.0015	-0.0027	-0.0122	-0.0023
137	0.35064	0.0004	-0.0023	-0.0102	-0.0024	-0.0012	-0.0000	0.0008	0.0029	-0.0015	0.0023	-0.0100	0.0022
138	0.36097	-0.0026	-0.0008	-0.0037	0.0000	0.0000	0.0000	-0.0021	0.0023	-0.0045	0.0031	-0.0065	-0.0021
139	0.37217	-0.0011	-0.0002	-0.0087	-0.0067	-0.0011	-0.0023	-0.0005	0.0110	-0.0017	-0.0012	-0.0050	-0.0029
140	0.38126	-0.0070	-0.0029	-0.0037	-0.0149	-0.0040	0.0012	-0.0042	0.0053	-0.0024	0.0017	-0.0080	-0.0064
141	0.39051	-0.0056	-0.0000	-0.0022	-0.0106	0.0018	0.0028	0.0016	0.0038	-0.0038	-0.0021	-0.0072	0.0023
142	0.40077	-0.0033	0.0042	-0.0058	-0.0083	-0.0033	0.0007	-0.0013	0.0054	-0.0010	0.0031	-0.0074	-0.0048
143	0.41214	-0.0026	0.0035	-0.0058	-0.0090	-0.0033	-0.0001	-0.0021	0.0063	0.0025	0.0030	-0.0095	0.0004
144	0.42119	-0.0032	0.0064	-0.0066	-0.0105	-0.0025	-0.0008	0.0029	0.0004	-0.0004	-0.0028	-0.0095	-0.0004
145	0.43287	-0.0076	0.0064	-0.0103	-0.0119	-0.0039	-0.0037	0.0000	0.0000	0.0000	0.0002	-0.0046	-0.0046
146	0.44163	-0.0032	0.0078	-0.0101	-0.0119	-0.0061	-0.0051	0.0016	0.0049	-0.0027	0.0023	-0.0047	-0.0030
147	0.45260	-0.0047	0.0063	-0.0115	0.0000	0.0000	0.0000	-0.0058	0.0022	-0.0013	-0.0029	-0.0126	-0.0007
148	0.46199	-0.0040	0.0078	-0.0085	-0.0113	-0.0104	-0.0008	-0.0050	0.0059	-0.0006	-0.0028	-0.0047	-0.0022
